q1,q2,q3,q4,q5,q6,q7,x,y,z
3.141593,-0.300000,0.000000,-1.600000,0.000000,-1.000000,1.570796,0.461885,0.024847,0.532556
3.071203,-0.353239,0.018886,-1.491708,0.008444,-1.200053,1.356991,0.462180,0.048861,0.537760
3.028092,-0.415747,0.027473,-1.378926,-0.026571,-1.399745,1.185192,0.462758,0.071989,0.542643
2.938054,-0.370524,0.064435,-1.433410,0.014880,-1.246856,0.981503,0.464012,0.093332,0.547676
2.932717,-0.428702,0.058952,-1.327985,-0.074038,-1.421768,0.863482,0.464966,0.114211,0.552170
2.828471,-0.397510,0.104687,-1.362781,0.006335,-1.297252,0.661726,0.466397,0.133678,0.557014
2.849293,-0.445087,0.089078,-1.273863,-0.116663,-1.432677,0.577117,0.467794,0.152289,0.561275
2.737480,-0.429866,0.142120,-1.285255,-0.009008,-1.345601,0.381516,0.469260,0.170066,0.565932
2.774034,-0.463517,0.119207,-1.218396,-0.149434,-1.434988,0.315178,0.470936,0.186616,0.569975
2.813102,-0.491407,0.094718,-1.173741,-0.293677,-1.495819,0.241706,0.472785,0.201861,0.573988
2.706845,-0.492476,0.151890,-1.147663,-0.174773,-1.460736,0.069147,0.474056,0.217069,0.578074
2.749645,-0.503656,0.123990,-1.131632,-0.321190,-1.470735,0.006096,0.475847,0.230830,0.581767
2.646462,-0.521246,0.183615,-1.078877,-0.192615,-1.480346,-0.162091,0.476772,0.244808,0.585469
2.686716,-0.515933,0.155063,-1.091650,-0.332069,-1.441366,-0.217687,0.478333,0.257256,0.588755
2.723487,-0.503259,0.126965,-1.130710,-0.469919,-1.370686,-0.258915,0.479918,0.268717,0.591709
2.756265,-0.485108,0.098833,-1.191644,-0.607664,-1.273744,-0.279054,0.481533,0.279045,0.594149
2.785049,-0.464117,0.069124,-1.268035,-0.748629,-1.157845,-0.273290,0.483145,0.288162,0.595884
2.810333,-0.443167,0.035465,-1.352665,-0.897632,-1.030808,-0.237759,0.484680,0.296119,0.596751
2.832962,-0.424969,-0.004629,-1.438431,-1.060649,-0.900470,-0.168102,0.486045,0.303098,0.596648
2.853569,-0.411754,-0.052403,-1.519048,-1.244980,-0.775012,-0.058386,0.487164,0.309376,0.595564
2.870909,-0.404979,-0.105197,-1.589849,-1.460287,-0.663936,0.099244,0.488038,0.315260,0.593624
2.877409,-0.404910,-0.150471,-1.648337,-1.718766,-0.580637,0.312281,0.488866,0.320988,0.591182
2.852655,-0.409921,-0.157452,-1.693588,-2.022055,-0.545821,0.571700,0.490192,0.326586,0.589235
2.781752,-0.418025,-0.103612,-1.725660,-2.324489,-0.571401,0.821488,0.492045,0.331899,0.589180
2.694469,-0.431414,-0.029113,-1.746383,-2.570929,-0.632567,1.013361,0.493380,0.337458,0.590142
2.617029,-0.450624,0.032144,-1.757911,-2.761689,-0.705800,1.155467,0.494064,0.343499,0.591041
2.553964,-0.473931,0.075951,-1.761714,-2.911172,-0.782614,1.263342,0.494345,0.349829,0.591762
2.503374,-0.499792,0.105929,-1.758897,-3.030326,-0.859463,1.347289,0.494403,0.356262,0.592368
